"['00015', '2015-09', '0.4257', '-0.16', '4.38', '19.93', '1.25', '1.25']","['00015', '2016-03', '0.4619', '0.03', '1.0', '44.23', '1.92', '1.16']","['00015', '2016-09', '0.5845', '0.81', '24.52', '3.3', '1.23', '0.72']","['00015', '2017-03', '0.8131', '-0.08', '5.75', '8.07', '1.46', '0.94']","['00015', '2017-09', '1.014', '-0.02', '4.81', '2.85', '1.42', '0.92']","['00015', '2018-03', '0.8276', '0.09', '1.6', '23.94', '1.48', '1.0']","['00015', '2018-09', '0.65', '-0.03', '0.72', '9.76', '1.29', '0.87']"
"['00016', '2015-06', '102.6994', '5.1815', '9.54', '1109.0', '3.54', '0.94']","['00016', '2015-12', '81.3032', '-6.0541', '7.34', '511.0', '3.1', '3.09']","['00016', '2016-06', '76.3282', '-1.633', '10.83', '1131.0', '3.41', '0.95']","['00016', '2016-12', '88.6214', '-14.6489', '10.39', '714.0', '3.5', '1.05']","['00016', '2017-12', '114.0049', '6.104', '7.47', '1140.0', '3.76', '1.04']","['00016', '2018-06', '111.7137', '-5.3527', '7.23', '1724.0', '3.39', '0.71']","['00016', '2018-12', '95.3303', '1.2652', '9.07', '707.0', '3.51', '0.75']"
"['00017', '2014-12', '6.9622', '-0.1106', '10.2', '68.0', '2.37', '1.28']","['00017', '2015-06', '7.4031', '0.9516', '15.18', '217.0', '2.0', '1.03']","['00017', '2015-12', '6.2839', '0.1156', '9.85', '37.0', '2.38', '1.47']","['00017', '2016-06', '6.0534', '0.4034', '7.99', '95.0', '2.39', '1.3']","['00017', '2016-12', '7.3335', '-1.3901', '11.51', '46.0', '2.35', '1.37']","['00017', '2017-12', '10.2588', '0.7899', '11.1', '115.0', '1.97', '1.08']","['00017', '2018-12', '9.3922', '0.019', '7.4', '111.0', '1.54', '0.9']"
"['00018', '2015-09', '0.4465', '-0.15', '1.11', '-0.27', '13.6', '13.22']","['00018', '2016-03', '0.4456', '-0.1', '0.88', '2.28', '14.51', '14.14']","['00018', '2016-09', '0.4517', '0.02', '0.73', '2.13', '13.35', '12.96']","['00018', '2017-03', '0.5772', '0.04', '0.97', '6.83', '16.15', '15.63']","['00018', '2017-09', '0.6731', '0.1', '1.85', '2.83', '13.88', '13.43']","['00018', '2018-03', '0.6564', '-0.03', '1.32', '6.59', '16.6', '16.19']","['00018', '2018-09', '0.85', '0.02', '0.67', '1.36', '7.1', '6.69']"
"['00019', '2015-12', '73.8307', '0.6674', '10.83', '893.0', '1.16', '0.7']","['00019', '2016-06', '72.0961', '6.307', '9.61', '336.0', '0.98', '0.61']","['00019', '2016-12', '67.1844', '-8.8276', '8.46', '641.0', '1.02', '0.62']","['00019', '2017-06', '69.2296', '-0.2665', '10.68', '807.0', '0.99', '0.7']","['00019', '2017-12', '68.6744', '-3.3031', '9.27', '1734.0', '0.98', '0.72']","['00019', '2018-06', '72.5814', '4.9002', '10.12', '899.0', '1.42', '1.18']","['00019', '2018-12', '74.497', '-2.992', '9.56', '1574.0', '1.12', '0.95']"
"['00020', '2015-12', '28.4152', '-0.7656', '2.46', '700.0', '1.76', '0.55']","['00020', '2016-06', '29.7229', '2.149', '4.8', '279.0', '1.42', '0.49']","['00020', '2016-12', '38.4244', '-1.9568', '4.6', '802.0', '1.4', '0.61']","['00020', '2017-06', '54.4933', '-1.6311', '2.82', '306.0', '1.47', '0.68']","['00020', '2017-12', '50.401', '0.8116', '2.64', '1009.0', '1.45', '1.45']","['00020', '2018-06', '52.5514', '-1.7121', '3.07', '421.0', '1.43', '0.39']","['00020', '2018-12', '39.1341', '-2.1612', '3.49', '843.0', '1.64', '0.51']"
"['00021', '2015-12', '0.174', '0.02', '0.61', '-0.22', '1.07', '0.02']","['00021', '2016-06', '0.17', '-0.02', '0.17', '-0.24', '1.03', '0.03']","['00021', '2016-12', '0.229', '0.09', '0.59', '-0.11', '0.84', '0.03']","['00021', '2017-06', '0.226', '0.0', '0.4', '-1.0', '0.8', '0.05']","['00021', '2017-12', '0.172', '0.01', '0.07', '-2.26', '0.75', '0.04']","['00021', '2018-06', '0.189', '-0.14', '0.15', '0.21', '0.74', '0.04']","['00021', '2018-12', '0.09', '-0.08', '1.83', '1.26', '0.0', '0.0']"
"['00022', '2015-09', '0.217', '-0.19', '5.99', '2.584', '0.27', '0.27']","['00022', '2016-03', '0.2', '-0.05', '0.81', '2.73', '0.25', '0.25']","['00022', '2016-09', '0.219', '0.04', '2.63', '0.726', '0.43', '0.43']","['00022', '2017-03', '0.231', '0.05', '3.89', '-0.04', '0.4', '0.4']","['00022', '2017-09', '0.3', '-0.01', '2.13', '-0.05', '0.38', '0.38']","['00022', '2018-03', '0.25', '0.0', '1.7', '-0.01', '0.44', '0.43']","['00022', '2018-09', '0.225', '-0.05', '9.78', '0.135', '0.53', '0.53']","['00022', '2018-09', '0.225', '-0.02', '9.76', '0.135', '0.53', '0.53']"
"['00024', '2015-12', '0.255', '-0.01', '10.63', '-2.57', '1.76', '1.72']","['00024', '2016-06', '0.245', '0.01', '17.78', '-0.08', '1.79', '1.73']","['00024', '2016-12', '0.17', '0.03', '8.7', '-4.12', '1.57', '1.46']","['00024', '2017-06', '0.155', '0.1', '19.03', '2.49', '2.03', '1.85']","['00024', '2017-12', '0.26', '0.12', '23.38', '-0.15', '2.32', '2.27']","['00024', '2018-06', '0.26', '-0.08', '20.34', '0.85', '2.83', '2.82']","['00024', '2018-12', '0.13', '-0.04', '8.28', '-2.16', '0.0', '0.0']"
"['00025', '2015-09', '10.183', '-1.31', '1.66', '68.0', '1.48', '1.07']","['00025', '2016-03', '8.9832', '-0.87', '0.32', '105.0', '1.45', '1.0']","['00025', '2016-09', '9.8655', '0.35', '0.81', '63.0', '1.63', '1.15']","['00025', '2017-03', '10.0925', '0.45', '0.45', '179.0', '1.64', '1.33']","['00025', '2017-09', '10.7201', '1.34', '1.99', '199.0', '1.5', '0.97']","['00025', '2018-03', '11.9242', '-0.95', '0.5', '301.0', '1.63', '1.0']","['00025', '2018-09', '10.8752', '-0.66', '0.33', '64.0', '1.54', '0.85']"
